first,firstbreed,breedage,firstreturn,returnage
10,NA,NA,NA,NA
10,NA,NA,13,3
10,16,6,15,5
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,15,5
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,14,4
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,19,9,13,3
10,NA,NA,NA,NA
10,16,6,15,5
10,16,6,13,3
10,19,9,12,2
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,18,8,14,4
10,16,6,13,3
10,NA,NA,13,3
10,NA,NA,14,4
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,14,4
10,NA,NA,13,3
10,21,11,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,16,6,15,5
10,NA,NA,13,3
10,16,6,14,4
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,15,5
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,17,7,14,4
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,12,2
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,15,5
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,14,4
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,22,12,13,3
10,16,6,13,3
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,NA,NA
10,NA,NA,12,2
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,13,3
10,NA,NA,NA,NA
10,16,6,12,2
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,15,5
10,NA,NA,15,5
10,NA,NA,NA,NA
10,18,8,15,5
10,NA,NA,15,5
10,NA,NA,14,4
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,14,4
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,13,3
10,16,6,13,3
10,NA,NA,NA,NA
10,NA,NA,12,2
10,16,6,13,3
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,16,6,14,4
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,15,5
10,NA,NA,14,4
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,19,9,15,5
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,14,4,13,3
10,NA,NA,NA,NA
10,19,9,13,3
10,15,5,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,15,5
10,NA,NA,15,5
10,NA,NA,15,5
10,NA,NA,13,3
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,13,3
10,NA,NA,NA,NA
10,16,6,13,3
10,NA,NA,19,9
10,17,7,13,3
10,NA,NA,13,3
10,NA,NA,NA,NA
10,17,7,14,4
10,22,12,13,3
10,16,6,13,3
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,14,4
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,18,8,16,6
10,16,6,12,2
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,13,3
10,NA,NA,13,3
10,NA,NA,NA,NA
10,NA,NA,NA,NA
10,16,6,14,4
6,NA,NA,8,2
6,NA,NA,NA,NA
6,NA,NA,NA,NA
6,NA,NA,NA,NA
6,NA,NA,NA,NA
6,NA,NA,19,13
6,NA,NA,NA,NA
6,NA,NA,9,3
6,NA,NA,9,3
6,NA,NA,9,3
6,NA,NA,NA,NA
6,NA,NA,NA,NA
6,NA,NA,NA,NA
6,21,15,11,5
6,NA,NA,NA,NA
6,NA,NA,NA,NA
6,NA,NA,9,3
